index,task_id,difficulty,direct_status,direct_category,direct_evidence,mygo_status,mygo_category,mygo_reason,transition
1,cvdp_copilot_16qam_mapper_0001,medium,PASS,PASS,,PASS,PASS,,both_pass
2,cvdp_copilot_16qam_mapper_0006,medium,PASS,PASS,,PASS,PASS,,both_pass
3,cvdp_copilot_64b66b_encoder_0001,easy,PASS,PASS,,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb reported failing tests despite zero process return code.,direct_only
4,cvdp_copilot_8x3_priority_encoder_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
5,cvdp_copilot_Carry_Lookahead_Adder_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
6,cvdp_copilot_GFCM_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
7,cvdp_copilot_apb_dsp_unit_0001,medium,FAIL,CVDP_FUNCTION_FAIL,assert 0 == 85,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb reported failing tests despite zero process return code.,both_failed
8,cvdp_copilot_apb_gpio_0001,medium,PASS,PASS,,MODEL_OR_MYGO_ERROR,MODEL_OR_MYGO_ERROR,"MyGo compile failed after DeepSeek revision attempts: MyGo verilog FAIL. /home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:141:37: error: use of undeclared SSA value name
    %read_pready136 = sv.read_inout %const_51 : !hw.inout<i1>
                                    ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:142:38: error: use of undeclared SSA value name
    %read_pslverr137 = sv.read_inout %const_52 : !hw.inout<i1>
                                     ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:143:39: error: use of undeclared SSA value name
    %read_gpio_out138 = sv.read_inout %const_39 : !hw.inout<i8>
                                      ^
/home/rongxv/work/mygo_cvdp_work/08_cvdp_copilot_apb_gpio_0001_1780710090540_1866677/.mygo-tmp/.mygo-circt-1057250930/design.mlir:144:42: error: use of undeclared SSA value name
    %read_gpio_enable139 = sv.read_inout %const_42 : !hw.inout<i8>
                                         ^
backend: circt-opt --pass-pipeline failed: exit status 1",direct_only
9,cvdp_copilot_apb_history_shift_register_0001,medium,FAIL,CVDP_FUNCTION_FAIL,"181.00ns WARNING  ..er.test_APBGlobalHistoryRegister control_register readback mismatch: Expected 0xb, got 0x0",FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb reported failing tests despite zero process return code.,both_failed
10,cvdp_copilot_axi_register_0001,medium,PASS,PASS,,PASS,PASS,,both_pass
11,cvdp_copilot_axi_stream_upscale_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
12,cvdp_copilot_axil_precision_counter_0001,medium,PASS,PASS,,PASS,PASS,,both_pass
13,cvdp_copilot_axis_joiner_0001,medium,PASS,PASS,,PASS,PASS,,both_pass
14,cvdp_copilot_barrel_shifter_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
15,cvdp_copilot_bcd_counter_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
16,cvdp_copilot_bcd_to_excess_3_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
17,cvdp_copilot_binary_to_one_hot_decoder_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
18,cvdp_copilot_caesar_cipher_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
19,cvdp_copilot_car_parking_management_0001,medium,PASS,PASS,,PASS,PASS,,both_pass
20,cvdp_copilot_cascaded_adder_0001,easy,PASS,PASS,,PASS,PASS,,both_pass
