index,task_id,difficulty,module,status,category,reason_cn,evidence,returncode,elapsed_seconds,llm_elapsed_seconds,llm_finish_reason,llm_total_tokens,verilog_bytes,folder,result_json
1,cvdp_copilot_16qam_mapper_0001,medium,qam16_mapper_interpolated,PASS,PASS,CVDP 判题通过。,,0,0.14108633995056152,164.6009180545807,stop,9124,2354,01_cvdp_copilot_16qam_mapper_0001,01_cvdp_copilot_16qam_mapper_0001/test_result.json
2,cvdp_copilot_16qam_mapper_0006,medium,to,PASS,PASS,CVDP 判题通过。,,0,0.15320396423339844,213.5152189731598,stop,9120,3637,02_cvdp_copilot_16qam_mapper_0006,02_cvdp_copilot_16qam_mapper_0006/test_result.json
3,cvdp_copilot_64b66b_encoder_0001,easy,,PASS,PASS,CVDP 判题通过。,,0,0.5148389339447021,22.729918241500854,stop,2085,803,03_cvdp_copilot_64b66b_encoder_0001,03_cvdp_copilot_64b66b_encoder_0001/test_result.json
4,cvdp_copilot_8x3_priority_encoder_0001,easy,priority_encoder_8x3,PASS,PASS,CVDP 判题通过。,,0,0.15115070343017578,12.38209581375122,stop,937,511,04_cvdp_copilot_8x3_priority_encoder_0001,04_cvdp_copilot_8x3_priority_encoder_0001/test_result.json
5,cvdp_copilot_Carry_Lookahead_Adder_0001,easy,is,PASS,PASS,CVDP 判题通过。,,0,0.13346099853515625,10.372774124145508,stop,1176,304,05_cvdp_copilot_Carry_Lookahead_Adder_0001,05_cvdp_copilot_Carry_Lookahead_Adder_0001/test_result.json
6,cvdp_copilot_GFCM_0001,easy,glitch_free_mux,PASS,PASS,CVDP 判题通过。,,0,0.15617966651916504,137.15153694152832,stop,7240,939,06_cvdp_copilot_GFCM_0001,06_cvdp_copilot_GFCM_0001/test_result.json
7,cvdp_copilot_apb_dsp_unit_0001,medium,in,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，生成 HDL 已进入判题但行为不符合参考测试。,assert 0 == 85,0,0.3828411102294922,288.94739294052124,stop,15240,3940,07_cvdp_copilot_apb_dsp_unit_0001,07_cvdp_copilot_apb_dsp_unit_0001/test_result.json
8,cvdp_copilot_apb_gpio_0001,medium,compatible,PASS,PASS,CVDP 判题通过。,,0,0.15422821044921875,175.85355615615845,stop,11128,6628,08_cvdp_copilot_apb_gpio_0001,08_cvdp_copilot_apb_gpio_0001/test_result.json
9,cvdp_copilot_apb_history_shift_register_0001,medium,APBGlobalHistoryRegister,FAIL,CVDP_FUNCTION_FAIL,CVDP cocotb 功能测试失败，生成 HDL 已进入判题但行为不符合参考测试。,"181.00ns WARNING  ..er.test_APBGlobalHistoryRegister control_register readback mismatch: Expected 0xb, got 0x0",0,0.43489813804626465,320.392774105072,stop,17633,2346,09_cvdp_copilot_apb_history_shift_register_0001,09_cvdp_copilot_apb_history_shift_register_0001/test_result.json
10,cvdp_copilot_axi_register_0001,medium,allows,PASS,PASS,CVDP 判题通过。,,0,0.1531543731689453,376.4690053462982,length,22533,7458,10_cvdp_copilot_axi_register_0001,10_cvdp_copilot_axi_register_0001/test_result.json
11,cvdp_copilot_axi_stream_upscale_0001,easy,is,PASS,PASS,CVDP 判题通过。,,0,0.1513073444366455,71.37695860862732,stop,4760,1593,11_cvdp_copilot_axi_stream_upscale_0001,11_cvdp_copilot_axi_stream_upscale_0001/test_result.json
12,cvdp_copilot_axil_precision_counter_0001,medium,named,PASS,PASS,CVDP 判题通过。,,0,0.15683245658874512,332.1982593536377,stop,21022,8908,12_cvdp_copilot_axil_precision_counter_0001,12_cvdp_copilot_axil_precision_counter_0001/test_result.json
